anr,datum,Vote_Title,Keywords,swissvoteslink,anzahl,d1e1,d1e2,d1e3,d2e1,d2e2,d2e3,d3e1,d3e2,d3e3,dep,Bundesrat_Position,legislatur,Legislaturjahr,gesch_nr,entwurf_nr,curiavista-de,curiavista-fr,pa-iv,bv-pos,Nationalrat_Position,nrja,nrnein,Ständerat_Position,srja,srnein,p-evp,p-gps,p-glp,p-pda,p-sd,p-edu,p-fps,p-lega,p-kvp,p-mcg,p-ucsp,p-cvp,p-bdp,p-lps,p-ldu,p-poch,p-rep,p-eco,p-sgv,p-sbv,p-sgb,p-travs,p-sav,p-vsa,p-vpod,p-voev,p-tcs,p-vcs,p-acs,p-sbk,p-ssv,p-gem,p-kdk,p-kkjpd,p-gdk,p-ldk,p-vdk,p-sodk,p-endk,p-fdk,p-edk,p-bpuk,nr-wahl,w-fdp,w-sp,w-svp,w-mitte,w-evp,w-gps,w-glp,w-csp,w-pda,w-sd,w-edu,w-fps,w-lega,w-kvp,w-mcg,w-cvp,w-bdp,w-lps,w-ldu,w-poch,w-rep,w-ubrige,ja-lager,nein-lager,keinepar-summe,leer-summe,freigabe-summe,unbekannt-summe,neutral-summe,inserate-jaanteil,stand,Vote_Result,berecht,stimmen,Turnout_Percentage,leer,ungultig,gultig,Yes_Votes,No_Votes,Yes_Percentage,zh-stimmen,Zürich_Yes,Zürich_No,Zürich_Yes_Percentage,zh-annahme,be-stimmen,Bern_Yes,Bern_No,Bern_Yes_Percentage,be-annahme,lu-stimmen,Luzern_Yes,Luzern_No,Luzern_Yes_Percentage,lu-annahme,ur-stimmen,Uri_Yes,Uri_No,Uri_Yes_Percentage,ur-annahme,sz-stimmen,Schwyz_Yes,Schwyz_No,Schwyz_Yes_Percentage,sz-annahme,ow-stimmen,Obwalden_Yes,Obwalden_No,Obwalden_Yes_Percentage,ow-annahme,nw-stimmen,Nidwalden_Yes,Nidwalden_No,Nidwalden_Yes_Percentage,nw-annahme,gl-stimmen,Glarus_Yes,Glarus_No,Glarus_Yes_Percentage,gl-annahme,zg-stimmen,Zug_Yes,Zug_No,Zug_Yes_Percentage,zg-annahme,fr-stimmen,Freiburg_Yes,Freiburg_No,Freiburg_Yes_Percentage,fr-annahme,so-stimmen,Solothurn_Yes,Solothurn_No,Solothurn_Yes_Percentage,so-annahme,bs-stimmen,Basel-Stadt_Yes,Basel-Stadt_No,Basel-Stadt_Yes_Percentage,bs-annahme,bl-stimmen,Basel-Land_Yes,Basel-Land_No,Basel-Land_Yes_Percentage,bl-annahme,sh-stimmen,Schaffhausen_Yes,Schaffhausen_No,Schaffhausen_Yes_Percentage,sh-annahme,ar-stimmen,Appenzell Ausserrhoden_Yes,Appenzell Ausserrhoden_No,Appenzell Ausserrhoden_Yes_Percentage,ar-annahme,ai-stimmen,Appenzell Innerrhoden_Yes,Appenzell Innerrhoden_No,Appenzell Innerrhoden_Yes_Percentage,ai-annahme,sg-stimmen,St. Gallen_Yes,St. Gallen_No,St. Gallen_Yes_Percentage,sg-annahme,gr-stimmen,Graubünden_Yes,Graubünden_No,Graubünden_Yes_Percentage,gr-annahme,ag-stimmen,Aargau_Yes,Aargau_No,Aargau_Yes_Percentage,ag-annahme,tg-stimmen,Thurgau_Yes,Thurgau_No,Thurgau_Yes_Percentage,tg-annahme,ti-stimmen,Tessin_Yes,Tessin_No,Tessin_Yes_Percentage,ti-annahme,vd-stimmen,Waadt_Yes,Waadt_No,Waadt_Yes_Percentage,vd-annahme,vs-stimmen,Wallis_Yes,Wallis_No,Wallis_Yes_Percentage,vs-annahme,ne-stimmen,Neuenburg_Yes,Neuenburg_No,Neuenburg_Yes_Percentage,ne-annahme,ge-stimmen,Genf_Yes,Genf_No,Genf_Yes_Percentage,ge-annahme,ju-stimmen,Jura_Yes,Jura_No,Jura_Yes_Percentage,ju-annahme,bkresults-de,bkresults-fr,bfsdash-de,bfsdash-fr,bfsdash-en,bfsmap-de,bfsmap-fr,bfsmap-en,nach_cockpit_d,nach_cockpit_f,nach_cockpit_e
1.0,12.09.1848,Totalrevision vom 12. September 1848,.,https://swissvotes.ch/vote/1.00,1,1,1.2,1.21,1,1.5,1.52,.,.,.,.,3,1,1848-1851,.,,,,0,3,3,.,.,3,.,.,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,199904.0,145584.0,54320.0,72.83,.,.,.,.,1,.,.,.,.,1,.,.,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,1,.,.,.,.,0,.,.,.,.,1,.,.,.,.,1,.,.,.,.,1,.,.,.,.,1,.,.,.,.,1,.,.,.,.,1,.,.,.,.,0,.,.,.,.,1,.,.,.,.,1,.,.,.,.,1,.,.,.,.,1,.,.,.,.,0,.,.,.,.,1,.,.,.,.,0,.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,https://www.bk.admin.ch/ch/d/pore/va/18480606/det1.html,https://www.bk.admin.ch/ch/f/pore/va/18480606/det1.html,.,.,.,,,.,.,.,.
2.0,14.01.1866,Festsetzung von Mass und Gewicht,.,https://swissvotes.ch/vote/2.00,9,1,1.5,1.52,.,.,.,.,.,.,.,.,6,1863-1866,.,,,,0,1,1,.,.,1,.,.,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,315578.0,159182.0,156396.0,50.44,29257,26742,2515,91.40,1,44006,17480,26526,39.72,0,17997,3534,14463,19.64,0,1767,239,1528,13.53,0,4809,1183,3626,24.60,0,1546,905,641,58.54,1,1865,188,1677,10.08,0,4094,1263,2831,30.85,0,2596,317,2279,12.21,0,14977,8726,6251,58.26,1,12447,8714,3733,70.01,1,2921,1947,974,66.66,1,6600,4176,2424,63.27,1,5954,2401,3553,40.33,0,6632,1648,4984,24.85,0,1819,19,1800,1.04,0,32944,8758,24186,26.58,0,12737,716,12021,5.62,0,36650,17144,19506,46.78,0,16520,13969,2551,84.56,1,7734,6854,880,88.62,1,28445,18934,9511,66.56,1,13604,6554,7050,48.18,0,3568,3190,378,89.41,1,4109,3601,508,87.64,1,.,.,.,.,.,https://www.bk.admin.ch/ch/d/pore/va/18660114/det2.html,https://www.bk.admin.ch/ch/f/pore/va/18660114/det2.html,.,.,.,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1814_de.html,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1814_fr.html,.,.,.,.
3.0,14.01.1866,Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung,.,https://swissvotes.ch/vote/3.00,9,12,12.3,.,1,1.6,1.62,1,1.5,1.52,3,.,6,1863-1866,.,,,,0,1,1,.,.,1,.,.,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,319433.0,170032.0,149401.0,53.23,29683,27808,1875,93.68,1,44818,18287,26531,40.80,0,18292,3548,14744,19.40,0,1785,108,1677,6.05,0,4868,1084,3784,22.27,0,1468,782,686,53.27,1,1830,107,1723,5.85,0,4079,2763,1316,67.74,1,2637,450,2187,17.06,0,15256,8664,6592,56.79,1,12643,8714,3929,68.92,1,3038,1760,1278,57.93,1,6858,4246,2612,61.91,1,5998,3197,2801,53.30,1,6626,2931,3695,44.23,0,1971,40,1931,2.03,0,33351,9961,23390,29.87,0,12199,1262,10937,10.35,0,37419,23692,13727,63.32,1,16587,14144,2443,85.27,1,7804,6595,1209,84.51,1,28758,18031,10727,62.70,1,13675,5182,8493,37.89,0,3606,3080,526,85.41,1,4184,3596,588,85.95,1,.,.,.,.,.,https://www.bk.admin.ch/ch/d/pore/va/18660114/det3.html,https://www.bk.admin.ch/ch/f/pore/va/18660114/det3.html,.,.,.,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1815_de.html,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1815_fr.html,.,.,.,.
4.0,14.01.1866,Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten,.,https://swissvotes.ch/vote/4.00,9,1,1.4,1.43,1,1.6,1.62,1,1.5,1.52,.,.,6,1863-1866,.,,,,0,1,1,.,.,1,.,.,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,318762.0,137321.0,181441.0,43.08,29710,27567,2143,92.79,1,44380,17201,27179,38.76,0,18319,3532,14787,19.28,0,1802,106,1696,5.88,0,4850,993,3857,20.47,0,1354,833,521,61.52,1,1716,102,1614,5.94,0,4016,2240,1776,55.78,1,2635,422,2213,16.02,0,15212,3109,12103,20.44,0,12640,8597,4043,68.01,1,3047,933,2114,30.62,0,6864,4103,2761,59.78,1,6000,2785,3215,46.42,0,6536,3007,3529,46.01,0,2043,56,1987,2.74,0,33320,9325,23995,27.99,0,12501,1236,11265,9.89,0,37449,22719,14730,60.67,1,16689,14182,2507,84.98,1,7712,4889,2823,63.39,1,28585,3043,25542,10.65,0,13607,2165,11442,15.91,0,3601,2591,1010,71.95,1,4174,1585,2589,37.97,0,.,.,.,.,.,https://www.bk.admin.ch/ch/d/pore/va/18660114/det4.html,https://www.bk.admin.ch/ch/f/pore/va/18660114/det4.html,.,.,.,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1816_de.html,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1816_fr.html,.,.,.,.
5.0,14.01.1866,Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen,.,https://swissvotes.ch/vote/5.00,9,6,6.1,6.12,1,1.6,1.62,1,1.5,1.52,.,.,6,1863-1866,.,,,,0,1,1,.,.,1,.,.,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,315754.0,125924.0,189830.0,39.88,29548,27538,2010,93.20,1,43118,16159,26959,37.48,0,18051,2880,15171,15.95,0,1788,107,1681,5.98,0,4845,758,4087,15.64,0,1356,293,1063,21.61,0,1691,75,1616,4.44,0,3980,2559,1421,64.30,1,2622,355,2267,13.54,0,15207,2950,12257,19.40,0,12555,8731,3824,69.54,1,3038,1579,1459,51.97,1,6781,3942,2839,58.13,1,5963,2783,3180,46.67,0,6867,239,6628,3.48,0,2097,9,2088,0.43,0,32913,7996,24917,24.29,0,12520,1308,11212,10.45,0,37164,18846,18318,50.71,1,16613,13477,3136,81.12,1,7775,4612,3163,59.32,1,27977,1901,26076,6.79,0,13642,1791,11851,13.13,0,3542,2646,896,74.70,1,4101,2390,1711,58.28,1,.,.,.,.,.,https://www.bk.admin.ch/ch/d/pore/va/18660114/det5.html,https://www.bk.admin.ch/ch/f/pore/va/18660114/det5.html,.,.,.,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1817_de.html,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1817_fr.html,.,.,.,.
6.0,14.01.1866,Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten,.,https://swissvotes.ch/vote/6.00,9,1,1.4,1.43,1,1.6,1.62,1,1.5,1.52,.,.,6,1863-1866,.,,,,0,1,1,.,.,1,.,.,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,319148.0,153469.0,165679.0,48.09,29718,28268,1450,95.12,1,44672,18240,26432,40.83,0,18293,3718,14575,20.32,0,1787,120,1667,6.72,0,4890,1147,3743,23.46,0,1292,897,395,69.43,1,1695,137,1558,8.08,0,3784,2608,1176,68.92,1,2645,443,2202,16.75,0,15276,7370,7906,48.25,0,12652,9006,3646,71.18,1,3058,755,2303,24.69,0,6852,4279,2573,62.45,1,6013,3394,2619,56.44,1,6484,3098,3386,47.78,0,2066,51,2015,2.47,0,33279,9699,23580,29.14,0,12737,1423,11314,11.17,0,37544,23958,13586,63.81,1,16630,14459,2171,86.95,1,7742,6458,1284,83.42,1,28622,3634,24988,12.70,0,13580,5277,8303,38.86,0,3609,2802,807,77.64,1,4228,2228,2000,52.70,1,.,.,.,.,.,https://www.bk.admin.ch/ch/d/pore/va/18660114/det6.html,https://www.bk.admin.ch/ch/f/pore/va/18660114/det6.html,.,.,.,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1818_de.html,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1818_fr.html,.,.,.,.
7.0,14.01.1866,Glaubens- und Kultusfreiheit,.,https://swissvotes.ch/vote/7.00,9,12,12.3,.,1,1.6,1.62,.,.,.,.,.,6,1863-1866,.,,,,0,1,1,.,.,1,.,.,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,320621.0,157629.0,162992.0,49.16,29653,27077,2576,91.31,1,43946,17595,26351,40.04,0,18272,3429,14843,18.77,0,1785,66,1719,3.70,0,4856,776,4080,15.98,0,1354,662,692,48.89,0,1709,89,1620,5.21,0,3847,1953,1894,50.77,1,2631,368,2263,13.99,0,15246,8583,6663,56.30,1,12591,8783,3808,69.76,1,3057,1866,1191,61.04,1,6853,4173,2680,60.89,1,5975,2339,3636,39.15,0,6840,595,6245,8.70,0,2042,15,2027,0.73,0,33102,7811,25291,23.60,0,12728,1275,11453,10.02,0,37333,22677,14656,60.74,1,16725,13496,3229,80.69,1,7772,6019,1753,77.44,1,28808,16245,12563,56.39,1,13712,5036,8676,36.73,0,3594,3163,431,88.01,1,4190,3538,652,84.44,1,.,.,.,.,.,https://www.bk.admin.ch/ch/d/pore/va/18660114/det7.html,https://www.bk.admin.ch/ch/f/pore/va/18660114/det7.html,.,.,.,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1819_de.html,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1819_fr.html,.,.,.,.
8.0,14.01.1866,Ausschliessung einzelner Strafarten,.,https://swissvotes.ch/vote/8.00,9,1,1.6,1.65,1,1.5,1.52,1,1.6,1.62,.,.,6,1863-1866,.,,,,0,1,1,.,.,1,.,.,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,316983.0,108364.0,208619.0,34.19,29570,25125,4445,84.97,1,43345,15544,27801,35.86,0,18201,2327,15874,12.79,0,1776,58,1718,3.27,0,4840,392,4448,8.10,0,1327,290,1037,21.85,0,1676,31,1645,1.85,0,4003,472,3531,11.79,0,2619,243,2376,9.28,0,15219,3124,12095,20.53,0,12552,8571,3981,68.28,1,3032,1036,1996,34.17,0,6796,3866,2930,56.89,1,5958,1965,3993,32.98,0,6954,44,6910,0.63,0,1995,7,1988,0.35,0,32915,6284,26631,19.09,0,12744,508,12236,3.99,0,37321,12081,25240,32.37,0,16628,11932,4696,71.76,1,7744,4837,2907,62.46,1,28448,2516,25932,8.84,0,13672,2003,11669,14.65,0,3554,2863,691,80.56,1,4094,2245,1849,54.84,1,.,.,.,.,.,https://www.bk.admin.ch/ch/d/pore/va/18660114/det8.html,https://www.bk.admin.ch/ch/f/pore/va/18660114/det8.html,.,.,.,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1820_de.html,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1820_fr.html,.,.,.,.
9.0,14.01.1866,Schutz des geistigen Eigentums,.,https://swissvotes.ch/vote/9.00,9,4,4.1,4.12,12,12.1,.,1,1.5,1.52,.,.,6,1863-1866,.,,,,0,1,1,.,.,1,.,.,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,314862.0,137476.0,177386.0,43.66,29514,27429,2085,92.94,1,43006,15993,27013,37.19,0,18229,3500,14729,19.20,0,1733,281,1452,16.21,0,4834,1318,3516,27.27,0,1212,865,347,71.37,1,1620,254,1366,15.68,0,3447,2257,1190,65.48,1,2626,370,2256,14.09,0,15214,7074,8140,46.50,0,12540,8961,3579,71.46,1,3033,1637,1396,53.97,1,6799,3999,2800,58.82,1,5942,2793,3149,47.00,0,6422,2593,3829,40.38,0,2016,32,1984,1.59,0,32811,6635,26176,20.22,0,12673,1029,11644,8.12,0,37127,20848,16279,56.15,1,16639,12933,3706,77.73,1,7730,6064,1666,78.45,1,28399,3094,25305,10.89,0,13637,1813,11824,13.29,0,3549,2866,683,80.76,1,4110,2838,1272,69.05,1,.,.,.,.,.,https://www.bk.admin.ch/ch/d/pore/va/18660114/det9.html,https://www.bk.admin.ch/ch/f/pore/va/18660114/det9.html,.,.,.,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1821_de.html,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1821_fr.html,.,.,.,.
10.0,14.01.1866,Verbot der Lotterie und Hasardspiele,.,https://swissvotes.ch/vote/10.00,9,4,4.1,4.13,4,4.4,4.43,.,.,.,.,.,6,1863-1866,.,,,,0,1,1,.,.,1,.,.,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,315850.0,139062.0,176788.0,44.03,29544,27391,2153,92.71,1,42899,16553,26346,38.59,0,18198,3960,14238,21.76,0,1748,188,1560,10.76,0,4839,1116,3723,23.06,0,1150,848,302,73.74,1,1618,334,1284,20.64,0,3937,3097,840,78.66,1,2619,400,2219,15.27,0,15311,3256,12055,21.27,0,12535,8972,3563,71.58,1,3037,1626,1411,53.54,1,6803,3976,2827,58.44,1,5950,2868,3082,48.20,0,6483,2691,3792,41.51,0,1961,94,1867,4.79,0,32987,8681,24306,26.32,0,12703,1403,11300,11.04,0,37197,21346,15851,57.39,1,16643,12860,3783,77.27,1,7738,5174,2564,66.86,1,28421,4033,24388,14.19,0,13784,2055,11729,14.91,0,3575,2983,592,83.44,1,4170,3157,1013,75.71,1,.,.,.,.,.,https://www.bk.admin.ch/ch/d/pore/va/18660114/det10.html,https://www.bk.admin.ch/ch/f/pore/va/18660114/det10.html,.,.,.,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1822_de.html,https://www.atlas.bfs.admin.ch/maps/12/map/mapIdOnly/1822_fr.html,.,.,.,.
