Abstimmungsnummer,Abstimmungsdatum,Titel,Offizieller Titel,Rechtsform,Initiativform,Stichwort,Volksmehr,Ständemehr,Ergebnis,Stimmbeteiligung (%),Ja-Stimmen,Nein-Stimmen,Kantone Ja,Kantone Nein,Swissvotes-Link
1.0,12.09.1848,Bundesverfassung der schweizerischen Eidgenossenschaft,Totalrevision vom 12. September 1848,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,.,145584.0,54320.0,15.5,6.5,https://swissvotes.ch/vote/1.00
2.0,14.01.1866,Mass und Gewicht,Festsetzung von Mass und Gewicht,Obligatorisches Referendum,Nicht zutreffend,.,1,0,Abgelehnt,.,159182.0,156396.0,9.5,12.5,https://swissvotes.ch/vote/2.00
3.0,14.01.1866,Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung,Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,.,170032.0,149401.0,12.5,9.5,https://swissvotes.ch/vote/3.00
4.0,14.01.1866,Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten,Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,.,137321.0,181441.0,8.0,14.0,https://swissvotes.ch/vote/4.00
5.0,14.01.1866,Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen,Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,.,125924.0,189830.0,9.0,13.0,https://swissvotes.ch/vote/5.00
6.0,14.01.1866,Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten,Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,.,153469.0,165679.0,10.0,12.0,https://swissvotes.ch/vote/6.00
7.0,14.01.1866,Glaubens- und Kultusfreiheit,Glaubens- und Kultusfreiheit,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,.,157629.0,162992.0,11.0,11.0,https://swissvotes.ch/vote/7.00
8.0,14.01.1866,Ausschliessung einzelner Strafarten,Ausschliessung einzelner Strafarten,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,.,108364.0,208619.0,6.5,15.5,https://swissvotes.ch/vote/8.00
9.0,14.01.1866,Schutz des geistigen Eigentums,Schutz des geistigen Eigentums,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,.,137476.0,177386.0,9.5,12.5,https://swissvotes.ch/vote/9.00
10.0,14.01.1866,Verbot der Lotterie und Hasardspiele,Verbot der Lotterie und Hasardspiele,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,.,139062.0,176788.0,9.5,12.5,https://swissvotes.ch/vote/10.00
11.0,12.05.1872,Bundesverfassung (Totalrevision),Totalrevision,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,.,255609.0,260859.0,9.0,13.0,https://swissvotes.ch/vote/11.00
12.0,19.04.1874,Bundesverfassung (Totalrevision),Totalrevision,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,.,340199.0,198013.0,13.5,8.5,https://swissvotes.ch/vote/12.00
13.0,23.05.1875,Gesetz betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe,Bundesgesez betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,.,213199.0,205069.0,9.5,12.5,https://swissvotes.ch/vote/13.00
14.0,23.05.1875,Gesetz über die politische Stimmberechtigung der Schweizerbürger,Bundesgesez über die politische Stimmberechtigung der Schweizerbürger,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,.,202583.0,207263.0,8.5,13.5,https://swissvotes.ch/vote/14.00
15.0,23.04.1876,Banknotengesetz,Bundesgesez über die Ausgabe und Einlösung von Banknoten,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,.,120068.0,193253.0,6.5,15.5,https://swissvotes.ch/vote/15.00
16.0,09.07.1876,Gesetz betreffend die Militärpflichtersatzsteuer,Bundesgesez betreffend die Militärpflichtersazsteuer,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,.,156157.0,184894.0,8.0,14.0,https://swissvotes.ch/vote/16.00
17.0,21.10.1877,Fabrikgesetz,Bundesgesez betreffend die Arbeit in den Fabriken,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,.,181204.0,170857.0,14.0,8.0,https://swissvotes.ch/vote/17.00
18.0,21.10.1877,Gesetz betreffend den Militärpflichtersatz,Bundesgesez betreffend den Militärpflichtersaz,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,.,170223.0,181383.0,8.0,14.0,https://swissvotes.ch/vote/18.00
19.0,21.10.1877,Politische Rechte der Niedergelassenen und Aufenthalter,Bundesgesez betreffend die politischen Rechte der Niedergelassenen und Aufenthalter und den Verlust der politischen Rechte der Schweizerbürger,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,.,131557.0,213230.0,5.5,16.5,https://swissvotes.ch/vote/19.00
20.0,19.01.1879,Subvention der Alpenbahnen,Bundesgesez betreffend Gewährung von Subsidien für Alpenbahnen,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,61.900232,278731.0,115571.0,19.5,2.5,https://swissvotes.ch/vote/20.00
21.0,18.05.1879,Wiedereinführung der Todesstrafe,Bundesbeschluss betreffend Abänderung von Artikel 65 der Bundesverfassung (Todesstrafe),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,60.345928,200485.0,181588.0,15.0,7.0,https://swissvotes.ch/vote/21.00
22.0,31.10.1880,Banknotenmonopol,Bundesbeschluss betreffend den durch das Volksbegehren vom 3. August 1880 gestellten Antrag auf Revision der Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,59.420084,121099.0,260126.0,4.5,17.5,https://swissvotes.ch/vote/22.00
23.0,30.07.1882,Bundesbeschluss betreffend den Erfindungsschutz,Bundesbeschluss betreffend den Erfindungsschutz,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,46.953872,141616.0,156658.0,7.5,14.5,https://swissvotes.ch/vote/23.00
24.0,30.07.1882,Epidemiengesetz,Bundesgesez betreffend Massnahmen gegen gemeingefährliche Epidemien,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,50.746558,68027.0,254340.0,1.0,21.0,https://swissvotes.ch/vote/24.00
25.0,26.11.1882,Schaffung eines Erziehungssekretärs des Bundes,Bundesbeschluss betreffend die Vollziehung des Artikels 27 der Bundesverfassung,Fakultatives Referendum,Nicht zutreffend,Schulvogt,0,3,Abgelehnt,75.640278,172010.0,318139.0,3.5,18.5,https://swissvotes.ch/vote/25.00
